material_id,formula,chemistry_family,predicted_voltage_V,est_capacity_mAh_g,est_energy_density_Wh_kg,energy_above_hull_meV,formation_energy_eV_atom,nsites,rank
mp-1020060,LiB(S2O7)2,sulfate,4.423,72.437,320.367,0.0,-1.908172922874999,160,1
mp-9143,LiPF6,fluoride,4.367,176.439,770.549,0.0,-2.922815228080357,8,2
mp-759185,LiSb(PO3)4,phosphate,4.216,60.285,254.166,25.155,-2.493897682605819,36,3
mp-504353,LiSb(PO3)4,phosphate,4.212,60.285,253.926,0.0,-2.519053130661376,36,4
mp-504207,LiSb(PO3)4,phosphate,4.139,60.285,249.528,14.128,-2.5049248712169323,36,5
mp-684104,LiSb2P5O16,phosphate,4.137,40.528,167.657,47.427,-2.430624879439483,48,6
mp-1200209,Li2B6O9F2,oxide,4.114,205.585,845.741,0.0,-2.8996193187719292,38,7
mp-504340,LiSb(PO3)4,phosphate,4.112,60.285,247.882,42.983,-2.4760699745502652,36,8
mp-673126,LiSb(PO3)4,phosphate,4.107,60.285,247.58,48.991,-2.470062192328042,36,9
mp-26541,LiSb(PO3)4,phosphate,4.051,60.285,244.204,32.528,-2.486525343578042,72,10
mp-765136,LiMn8F33,fluoride,4.043,24.969,100.95,27.985,-2.419108458613848,84,11
mp-556531,LiSi2BO6,sulfate,4.039,157.734,637.022,5.016,-3.061145014375,80,12
mp-1235059,LiO8,oxide,4.028,198.627,800.071,0.0,-0.42706908814814803,9,13
mp-9144,LiAsF6,sulfide,4.027,136.848,551.048,0.0,-2.559708187395833,8,14
mp-558105,LiB6O9F,oxide,3.984,114.148,454.71,0.0,-2.86485175622549,68,15
mp-541272,LiGe2(PO4)3,phosphate,3.934,61.313,241.203,9.429,-2.478640178181215,36,16
mp-1235252,LiO8,oxide,3.917,198.627,778.039,9.24,-0.41782946370370305,9,17
mp-26675,LiSb(PO3)4,phosphate,3.913,60.285,235.894,31.524,-2.48752887260582,72,18
mp-1021510,LiGe2(PO4)3,phosphate,3.907,61.313,239.544,10.175,-2.477893766514548,36,19
mp-684427,LiSb(PO3)4,phosphate,3.896,60.285,234.842,17.002,-2.502051030383596,72,20
mp-1020014,Li3B11O18,oxide,3.876,187.982,728.655,0.0,-2.817591519401042,128,21
mp-759251,LiSb(PO3)4,phosphate,3.871,60.285,233.385,47.929,-2.471123789133598,72,22
mp-705372,LiCo(PO3)5,phosphate,3.867,58.172,224.98,44.585,-2.336286586888528,88,23
mp-26262,LiCu(PO3)4,phosphate,3.855,69.368,267.43,2.785,-2.342573588716932,36,24
mp-26157,LiSb(PO3)4,phosphate,3.836,60.285,231.283,12.14,-2.5069128684391533,72,25
mp-695791,LiMo(PO3)5,phosphate,3.83,53.847,206.216,37.185,-2.508782130297619,88,26
mp-757306,LiCu(PO3)4,phosphate,3.809,69.368,264.189,15.998,-2.329360579550264,36,27
mp-1232999,LiO8,oxide,3.803,198.627,755.476,16.818,-0.410251224814815,9,28
mp-776510,Li3Sb3P8O29,phosphate,3.787,73.238,277.36,8.803,-2.43498642167774,86,29
mp-1080241,Li2Ge(S2O7)3,sulfate,3.773,87.175,328.946,0.0,-1.852932946333333,180,30
mp-1236127,LiO8,oxide,3.773,198.627,749.362,15.708,-0.411361199259259,9,31
mp-684508,LiSb2(PO4)3,phosphate,3.758,50.062,188.112,33.993,-2.379534400403438,72,32
mp-779525,Li3Sb3P8O29,phosphate,3.724,73.238,272.769,11.227,-2.432563137491693,86,33
mp-555899,Li2Si3O7,sulfate,3.719,255.094,948.718,2.953,-3.077189366597222,48,34
mp-25979,LiNi(PO3)4,phosphate,3.708,70.25,260.514,42.708,-2.382109170800265,72,35
mp-26401,LiMoP4O13,phosphate,3.701,61.647,228.169,38.515,-2.480874908126567,76,36
mp-1020025,LiB3O5,oxide,3.683,224.527,826.829,45.09,-2.772310767037036,144,37
mp-1235185,LiO8,oxide,3.675,198.627,729.992,5.362,-0.42170755703703605,9,38
mp-672958,LiSb(PO3)4,phosphate,3.674,60.285,221.476,19.17,-2.499882664689153,72,39
mp-2766181,LiMn2F9,fluoride,3.673,93.126,342.062,35.482,-2.656921822136015,24,40
mp-849779,LiSi6BiO14,sulfate,3.67,44.051,161.652,33.347,-3.012385302196969,88,41
mp-684082,LiSb(PO3)4,phosphate,3.646,60.285,219.786,47.211,-2.471841808994709,36,42
mp-555090,LiBS4(ClO3)4,sulfate,3.629,55.859,202.705,9.117,-1.7208959957954542,88,43
mp-1188485,Li2BF5,fluoride,3.624,447.876,1622.907,34.97,-3.118009279895832,16,44
mp-26341,LiSbP2O7,phosphate,3.624,88.559,320.898,16.076,-2.497008056601731,22,45
mp-672984,LiCu(PO3)4,phosphate,3.617,69.368,250.898,48.166,-2.297191900661375,72,46
mp-684477,Li2Sb(PO3)5,phosphate,3.608,101.044,364.601,36.97,-2.522012335429607,46,47
mp-26281,Li3Sb5(PO4)6,phosphate,3.606,67.036,241.725,21.557,-2.417317315733081,38,48
mp-752752,LiMnF6,fluoride,3.603,152.397,549.123,0.0,-2.363049628908046,8,49
mp-1020146,Na2LiB5(PO7)2,phosphate,3.6,68.213,245.548,0.0,-2.7806599083837913,48,50
